0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	697
0	692
0	698
0	701
2621	695
1951	694
3269	694
2581	692
1958	681
3044	680
2400	689
1740	688
3091	691
2398	677
1537	683
2847	675
2181	680
3496	676
2837	672
1968	675
3276	671
2613	671
1968	668
3062	675
2407	666
1745	676
3052	674
2829	666
2181	672
3309	663
2599	666
1983	659
3266	662
2622	663
1964	651
3052	648
2402	652
1736	652
3022	661
2168	652
3444	650
2799	658
2160	655
3241	657
2582	648
1953	648
3229	661
2583	648
1928	650
2984	650
2350	651
1717	650
3005	648
2157	646
3431	652
2783	654
2141	654
3430	657
2584	651
1928	658
3214	651
2578	651
1928	653
3002	652
2384	653
1701	654
2986	647
2351	650
1708	647
2988	660
2347	645
1707	642
2781	650
2121	640
3415	642
2769	645
2135	649
3412	652
2771	651
2128	650
3209	647
2561	639
1928	647
1920	645
2997	655
2351	647
1710	636
2975	638
2340	638
1699	647
2970	641
2347	647
1693	655
2761	633
2122	633
3390	626
2760	632
2122	631
3390	635
2768	630
2129	632
3187	636
2559	649
1911	637
3204	644
2549	637
1904	636
2977	648
2323	636
1704	644
2975	645
2341	635
1700	642
2979	633
2338	636
1702	644
2767	629
2125	638
3399	636
2761	630
2132	633
3179	638
2558	641
1917	642
3193	634
2550	637
1910	633
3187	639
2552	636
1913	644
2973	631
2327	642
1701	626
2968	637
2336	634
1697	633
2767	640
2118	641
3402	641
2760	639
2126	641
3404	636
2768	637
2130	639
3200	633
2553	635
1911	628
3222	632
2557	638
1918	638
3198	641
2549	661
1911	654
2972	651
2344	653
1699	652
2975	653
2371	652
1703	642
2983	653
2345	642
1708	639
2768	635
2128	642
3402	637
2764	633
2132	636
3394	641
2767	641
1930	635
3184	642
2548	643
1909	656
3186	641
2347	642
1710	647
2977	649
2340	648
1704	646
2974	640
2338	642
1702	649
2771	644
2126	641
1493	643
2774	653
2125	642
3411	650
2760	649
2130	650
3189	646
2550	643
1916	646
3191	649
2551	640
1913	649
3191	646
2544	651
1914	649
2984	652
2341	650
1704	646
2977	655
2340	654
1700	642
2975	647
2134	646
1503	649
2768	648
2126	655
3413	648
2554	647
1918	650
3190	650
2550	653
1910	647
3190	655
2553	652
1902	640
2984	652
2348	641
1698	645
2980	651
2336	646
1703	649
2980	653
2345	649
1703	649
2771	652
2133	651
3372	652
2782	649
2121	652
3188	656
2551	649
1915	0
3152	0
2559	
1919	
0	
0	
